Are you self-employed?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Do you currently have a mental health disorder?,Do you have a family history of mental illness?,Do you have previous employers?,Do you know the options for mental health care available under your employer-provided health coverage?,Does your employer offer resources to learn more about mental health disorders and options for seeking help?,Does your employer provide mental health benefits as part of healthcare coverage?,Have you ever sought treatment for a mental health disorder from a mental health professional?,Have you had a mental health disorder in the past?,Have you observed or experienced a *supportive or well handled response* to a mental health issue in your current or previous workplace?,Have your previous employers provided mental health benefits?,How many employees does your company or organization have?,How willing would you be to share with friends and family that you have a mental illness?,"If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?","If you have a mental health disorder, how often do you feel that it interferes with your work when being treated effectively?","If you have a mental health disorder, how often do you feel that it interferes with your work when not being treated effectively (i.e., when you are experiencing symptoms)?",Is your employer primarily a tech company/organization?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Were you aware of the options for mental health care provided by your previous employers?,What country do you live in?,What country do you work in?,What is your age?,Would you bring up your *mental* health with a potential employer in an interview?,Would you feel comfortable discussing a mental health issue with your coworkers?,Would you have been willing to discuss your mental health with your direct supervisor(s)?,year
0,No,No,No,1,Unknown,No,Unknown,0,No,No,Unknown,6-25,7,0.0,0,0,0.0,Unknown,NA,United States of America,United States of America,32.0,Maybe,No,Unknown,2016
0,No,No,No,1,Unknown,Partial,Yes,0,No,Maybe,No,500-1000,0,1.0,0,0,0.0,No,No,United States of America,United States of America,59.0,No,Maybe,No,2016
1,No,No,Unknown,1,Unknown,No,Unknown,0,No,Maybe,Partial,Unknown,7,0.0,0,0,,Unknown,Yes,Sweden,Sweden,43.0,Yes,Unknown,Some,2016
0,Yes,No,Yes,1,Yes,Yes,Yes,1,Yes,No,Yes,More than 1000,10,3.0,3,3,1.0,Unknown,Yes,United States of America,United States of America,32.0,Yes,Yes,Yes,2016
0,No,Maybe,Unknown,1,Unknown,No,Not eligible for coverage / NA,0,No,Maybe,Unknown,More than 1000,0,1.0,0,0,0.0,Unknown,NA,United Kingdom,United Kingdom,41.0,Maybe,No,No,2016
0,Unknown,Yes,Yes,0,Unknown,Unknown,No,1,Yes,No,Unknown,1-5,10,5.0,2,3,1.0,Unknown,Unknown,United States of America,United States of America,38.0,Yes,Yes,Unknown,2016
1,No,Yes,No,1,Unknown,No,Unknown,1,Yes,Maybe,Partial,Unknown,0,0.0,3,4,,Unknown,Partial,United States of America,United States of America,46.0,No,Unknown,No,2016
0,No,No,Yes,1,No,Partial,No,1,Yes,Yes,Unknown,More than 1000,7,2.0,2,3,0.0,Yes,NA,United Kingdom,United Kingdom,43.0,No,Yes,No,2016
0,No,Yes,Yes,1,Yes,Partial,Yes,1,Yes,Yes,Partial,100-500,3,5.0,3,4,1.0,Yes,No,United States of America,United States of America,29.0,No,Maybe,Some,2016
1,No,No,Unknown,1,Unknown,No,Unknown,0,Maybe,Unknown,Unknown,Unknown,7,0.0,0,0,,Unknown,NA,United States of America,United States of America,42.0,Yes,Unknown,Some,2016
0,Unknown,No,No,0,Unknown,Unknown,Unknown,0,No,No,Unknown,100-500,5,5.0,0,0,1.0,Unknown,Unknown,United States of America,United States of America,25.0,No,Yes,Unknown,2016
0,No,Yes,No,1,Yes,No,Yes,0,Yes,Maybe,No,26-100,5,4.0,3,4,1.0,No,NA,Afghanistan,Afghanistan,49.0,No,Maybe,Some,2016
0,No,Yes,Yes,1,No,No,No,1,No,Maybe,No,26-100,7,0.0,3,3,1.0,Unknown,NA,Pakistan,United States of America,36.0,No,No,No,2016
1,No,No,No,1,Unknown,No,Unknown,0,Yes,Yes,No,Unknown,3,0.0,0,4,,Unknown,NA,United Kingdom,United Kingdom,30.0,Yes,Unknown,No,2016
0,No,No,Yes,1,Unknown,No,Unknown,0,No,Unknown,No,26-100,7,2.0,0,0,1.0,Unknown,No,United States of America,United States of America,28.0,Maybe,Maybe,Unknown,2016
0,No,Yes,Yes,1,No,Partial,Unknown,1,Yes,Maybe,Partial,More than 1000,3,2.0,3,4,0.0,Unknown,Partial,United States of America,United States of America,37.0,Maybe,No,No,2016
0,No,Yes,Yes,1,Yes,No,Not eligible for coverage / NA,0,Maybe,Yes,No,6-25,5,2.0,2,4,0.0,Yes,NA,United States of America,United States of America,23.0,No,No,Some,2016
1,No,No,Yes,1,Unknown,No,Unknown,0,No,Unknown,Unknown,Unknown,5,0.0,0,0,,Unknown,No,United Kingdom,United Kingdom,37.0,Yes,Unknown,Unknown,2016
1,Unknown,Yes,No,1,Unknown,No,Unknown,1,Maybe,Maybe,Unknown,Unknown,10,0.0,4,4,,Unknown,NA,Netherlands,Netherlands,42.0,Maybe,Unknown,Some,2016
0,Partial,Yes,Yes,1,Yes,Partial,Yes,1,Yes,No,Partial,More than 1000,3,3.0,3,4,0.0,Yes,Partial,United States of America,United States of America,32.0,No,Maybe,Some,2016
0,Unknown,Maybe,Unknown,1,Unknown,Partial,No,0,No,Maybe,Partial,1-5,3,2.0,0,0,1.0,Unknown,Partial,Canada,Canada,28.0,Maybe,No,Some,2016
0,Partial,Yes,Yes,1,Unknown,Partial,Unknown,1,Yes,No,Partial,More than 1000,5,3.0,3,3,0.0,Unknown,Partial,United Kingdom,United Kingdom,28.0,Maybe,No,Some,2016
0,Unknown,Yes,Yes,0,Yes,Unknown,Yes,1,Yes,Maybe,Unknown,More than 1000,7,4.0,3,4,1.0,Unknown,Unknown,United States of America,United States of America,29.0,Maybe,No,Unknown,2016
0,No,Maybe,No,1,Unknown,No,Unknown,0,Maybe,Yes,Unknown,100-500,10,0.0,3,4,1.0,Unknown,Partial,United States of America,United States of America,35.0,No,Yes,No,2016
1,No,Yes,Yes,1,Unknown,No,Unknown,1,Yes,No,Yes,Unknown,7,0.0,3,4,,Unknown,Partial,United States of America,United States of America,31.0,Yes,Unknown,Some,2016
1,No,Yes,Yes,1,Unknown,No,Unknown,1,Yes,Yes,No,Unknown,7,0.0,3,4,,Unknown,NA,United States of America,United States of America,46.0,Maybe,Unknown,Unknown,2016
1,No,Maybe,Unknown,1,Unknown,Partial,Unknown,1,Yes,Yes,Unknown,Unknown,7,0.0,2,3,,Unknown,NA,United States of America,United States of America,19.0,Maybe,Unknown,No,2016
0,Unknown,Maybe,Unknown,1,Unknown,No,Not eligible for coverage / NA,0,Maybe,No,Unknown,500-1000,7,4.0,0,0,1.0,Yes,NA,Sweden,Sweden,35.0,Maybe,Yes,Some,2016
0,No,No,Unknown,1,Unknown,No,Yes,0,Maybe,Yes,Unknown,More than 1000,10,4.0,2,1,0.0,Yes,NA,United Kingdom,United Kingdom,31.0,Maybe,Yes,Some,2016
1,Unknown,No,No,0,Unknown,Unknown,Unknown,0,No,No,Unknown,Unknown,3,0.0,0,0,,Unknown,Unknown,United States of America,United States of America,31.0,Maybe,Unknown,Unknown,2016
0,No,No,No,1,Yes,No,Yes,0,No,Yes,Partial,More than 1000,7,4.0,0,0,1.0,Yes,No,Canada,Canada,37.0,Yes,Maybe,No,2016
0,No,Yes,Yes,1,Unknown,No,Unknown,1,Yes,No,No,6-25,10,5.0,1,4,1.0,Yes,NA,United States of America,United States of America,34.0,Maybe,Yes,Some,2016
0,No,No,Yes,1,Yes,No,Yes,1,Yes,No,Yes,26-100,10,5.0,1,3,1.0,Unknown,Partial,United States of America,United States of America,39.0,Maybe,Maybe,Some,2016
1,No,No,Yes,1,Unknown,No,Unknown,1,No,No,Partial,Unknown,10,0.0,0,3,,Unknown,Partial,United States of America,United States of America,29.0,Maybe,Unknown,Some,2016
0,No,Yes,Yes,1,Yes,No,Yes,1,Yes,Yes,Partial,100-500,7,2.0,2,4,1.0,Unknown,Partial,United States of America,United States of America,29.0,Yes,No,No,2016
0,Partial,No,Yes,1,Unknown,Yes,Yes,1,Yes,No,Yes,More than 1000,7,5.0,1,3,1.0,Yes,Partial,United States of America,United States of America,63.0,Yes,Yes,Some,2016
1,Partial,Yes,No,1,Unknown,Partial,Unknown,1,Maybe,Maybe,Partial,Unknown,7,0.0,2,4,,Unknown,Partial,Australia,Australia,45.0,Maybe,Unknown,Some,2016
1,No,Maybe,Unknown,1,Unknown,No,Unknown,0,Maybe,No,No,Unknown,3,0.0,3,3,,Unknown,NA,Greece,Greece,35.0,Maybe,Unknown,Yes,2016
1,No,No,Unknown,1,Unknown,No,Unknown,0,Maybe,Yes,Unknown,Unknown,0,0.0,0,0,,Unknown,NA,United States of America,United States of America,44.0,Yes,Unknown,No,2016
0,No,Yes,Yes,1,Unknown,No,No,1,Yes,Yes,No,More than 1000,3,1.0,4,4,0.0,Unknown,NA,United Kingdom,United Kingdom,28.0,No,No,No,2016
1,No,Maybe,No,1,Unknown,No,Unknown,1,Maybe,Yes,Unknown,Unknown,7,0.0,0,0,,Unknown,Partial,Ireland,Ireland,39.0,Maybe,Unknown,Some,2016
1,No,Maybe,Yes,1,Unknown,No,Unknown,1,Yes,Yes,Partial,Unknown,5,0.0,2,4,,Unknown,Partial,United States of America,United States of America,55.0,No,Unknown,Some,2016
1,No,Yes,Yes,1,Unknown,No,Unknown,1,Maybe,Yes,No,Unknown,3,0.0,3,4,,Unknown,Yes,United States of America,United States of America,33.0,No,Unknown,No,2016
0,No,No,No,1,No,No,No,0,No,No,No,6-25,5,5.0,0,0,1.0,No,NA,India,India,19.0,No,Yes,Some,2016
0,No,Maybe,Yes,1,No,No,Yes,0,Maybe,Yes,No,More than 1000,7,4.0,2,4,1.0,Yes,NA,United States of America,United States of America,40.0,No,No,No,2016
0,Unknown,No,Yes,0,Yes,Unknown,Yes,1,Maybe,No,Unknown,More than 1000,7,5.0,1,3,0.0,Yes,Unknown,United States of America,United States of America,49.0,Maybe,Maybe,Unknown,2016
0,No,No,Unknown,1,Unknown,No,Not eligible for coverage / NA,0,No,No,Unknown,6-25,0,5.0,0,0,1.0,Yes,NA,Australia,Australia,27.0,Maybe,Yes,Some,2016
0,Partial,Yes,Yes,1,Yes,Partial,Yes,1,Yes,Yes,Partial,More than 1000,7,4.0,3,4,0.0,Yes,Partial,United States of America,United States of America,39.0,Yes,No,Some,2016
0,No,Yes,No,1,Unknown,No,Unknown,1,Yes,Maybe,Partial,More than 1000,10,3.0,1,3,0.0,Yes,Partial,United Kingdom,United Kingdom,35.0,Yes,Yes,Some,2016
0,No,Maybe,Unknown,1,No,No,Unknown,0,Maybe,Unknown,Unknown,26-100,7,0.0,2,3,1.0,Unknown,NA,United States of America,United States of America,35.0,Maybe,Maybe,Some,2016
0,No,Yes,Unknown,1,Unknown,No,Yes,1,Yes,Yes,Partial,26-100,7,1.0,2,4,1.0,Unknown,Partial,United States of America,United States of America,42.0,Maybe,Maybe,Some,2016
0,No,No,No,1,Yes,No,Yes,0,No,Yes,No,6-25,7,5.0,0,0,1.0,Yes,NA,Canada,Canada,35.0,Yes,Maybe,Some,2016
0,No,No,Unknown,1,No,Partial,Unknown,1,Yes,Yes,Partial,100-500,7,2.0,3,4,1.0,Unknown,Partial,United States of America,United States of America,31.0,No,Maybe,Some,2016
1,No,Yes,Yes,1,Unknown,No,Unknown,1,Yes,No,No,Unknown,7,0.0,3,3,,Unknown,NA,United Kingdom,United Kingdom,44.0,Maybe,Unknown,Some,2016
0,No,Maybe,Unknown,1,Yes,No,Yes,1,Maybe,No,Yes,100-500,3,0.0,3,3,1.0,Unknown,No,United States of America,United States of America,39.0,Maybe,No,Yes,2016
1,No,No,Unknown,1,Unknown,No,Unknown,0,No,No,Unknown,Unknown,0,0.0,0,0,,Unknown,NA,Canada,Canada,32.0,Maybe,Unknown,Yes,2016
0,No,No,No,1,Unknown,No,Unknown,0,No,Maybe,Unknown,More than 1000,10,4.0,0,0,1.0,Unknown,NA,New Zealand,New Zealand,45.0,Yes,No,Unknown,2016
1,No,No,No,1,Unknown,Partial,Unknown,1,No,No,Partial,Unknown,7,0.0,0,0,,Unknown,NA,United States of America,United States of America,31.0,Maybe,Unknown,Some,2016
1,No,Yes,Yes,1,Unknown,No,Unknown,1,Yes,No,Yes,Unknown,7,0.0,2,3,,Unknown,Partial,United States of America,United States of America,47.0,No,Unknown,Some,2016
0,Partial,No,Yes,1,Unknown,Partial,No,1,Maybe,No,Partial,26-100,3,2.0,0,0,1.0,Unknown,Partial,United States of America,United States of America,29.0,Yes,No,Some,2016
0,Unknown,No,Yes,0,No,Unknown,Yes,1,Yes,No,Unknown,6-25,7,0.0,1,4,1.0,Unknown,Unknown,United States of America,United States of America,20.0,No,Yes,Unknown,2016
0,Unknown,No,Yes,0,Unknown,Unknown,Not eligible for coverage / NA,0,No,No,Unknown,100-500,0,1.0,0,0,1.0,Unknown,Unknown,United States of America,United States of America,34.0,No,Maybe,Unknown,2016
0,Partial,Yes,No,1,Unknown,Partial,Not eligible for coverage / NA,1,Yes,No,Partial,500-1000,10,5.0,2,4,1.0,Yes,Partial,United Kingdom,United Kingdom,33.0,Maybe,Yes,Some,2016
1,No,Maybe,Yes,1,Unknown,Partial,Unknown,1,Maybe,Maybe,Yes,Unknown,7,0.0,3,4,,Unknown,Partial,United States of America,United States of America,56.0,No,Unknown,Unknown,2016
1,No,Yes,Yes,1,Unknown,No,Unknown,0,Yes,Unknown,Unknown,Unknown,0,0.0,2,0,,Unknown,NA,Canada,Canada,35.0,No,Unknown,Yes,2016
0,No,Yes,Yes,1,Yes,No,Yes,1,Yes,Maybe,Yes,100-500,5,0.0,3,4,1.0,Unknown,Partial,United States of America,United States of America,31.0,No,No,No,2016
0,Partial,Yes,Yes,1,Yes,Partial,Yes,1,Yes,Yes,Partial,More than 1000,10,5.0,2,4,1.0,Yes,Yes,United States of America,United States of America,36.0,No,Yes,Some,2016
0,No,Yes,Yes,1,Yes,No,Yes,0,No,Yes,No,100-500,7,4.0,0,0,1.0,No,NA,United States of America,United States of America,30.0,Yes,No,No,2016
0,Partial,Maybe,Yes,1,Unknown,Partial,Yes,1,Yes,Maybe,Partial,More than 1000,3,3.0,2,3,0.0,Yes,Partial,United States of America,United States of America,44.0,No,Maybe,No,2016
0,No,Yes,Unknown,1,Unknown,No,Unknown,1,Yes,No,Partial,1-5,3,4.0,2,4,1.0,Unknown,NA,United States of America,United States of America,23.0,Maybe,Maybe,Some,2016
0,Unknown,No,No,0,No,Unknown,Yes,0,No,No,Unknown,More than 1000,7,0.0,0,0,0.0,Unknown,Unknown,United States of America,United States of America,46.0,Maybe,No,Unknown,2016
0,Yes,Yes,Yes,1,Yes,Yes,Yes,1,Yes,Yes,Yes,100-500,7,5.0,1,3,1.0,Unknown,Partial,United States of America,United States of America,33.0,No,Yes,No,2016
0,No,Maybe,Yes,1,Yes,No,Yes,1,Yes,Maybe,Unknown,500-1000,0,4.0,2,3,0.0,Yes,NA,United States of America,United States of America,32.0,Maybe,Maybe,Some,2016
0,No,Yes,Unknown,1,No,No,No,1,Yes,No,Unknown,6-25,7,3.0,1,4,1.0,Unknown,NA,United States of America,United States of America,26.0,Maybe,Yes,Some,2016
1,Unknown,No,No,1,Unknown,Partial,Unknown,0,No,Maybe,Unknown,Unknown,0,0.0,0,0,,Unknown,NA,United States of America,United States of America,32.0,Maybe,Unknown,Some,2016
0,Unknown,No,No,0,Unknown,Unknown,Unknown,0,No,No,Unknown,More than 1000,0,5.0,0,0,1.0,Unknown,Unknown,United States of America,United States of America,28.0,No,Maybe,Unknown,2016
1,No,No,No,1,Unknown,No,Unknown,0,Yes,No,Unknown,Unknown,7,0.0,0,0,,Unknown,NA,United States of America,United States of America,44.0,Maybe,Unknown,Yes,2016
1,No,Maybe,Yes,1,Unknown,Partial,Unknown,0,Maybe,Maybe,Partial,Unknown,10,0.0,0,4,,Unknown,No,United Kingdom,United Kingdom,42.0,Maybe,Unknown,Some,2016
0,No,No,No,1,No,No,Yes,0,No,No,Unknown,More than 1000,10,2.0,0,0,1.0,Unknown,NA,United States of America,United States of America,30.0,No,Yes,Some,2016
0,No,Maybe,Yes,1,No,No,Unknown,1,Maybe,Yes,Partial,6-25,0,2.0,0,4,1.0,Unknown,Partial,United States of America,United States of America,28.0,No,No,No,2016
0,No,Yes,Yes,1,Yes,No,Yes,1,Yes,Yes,Yes,100-500,10,4.0,2,4,1.0,Yes,Yes,Canada,Canada,31.0,Maybe,Yes,Some,2016
0,No,Maybe,Unknown,1,No,No,Yes,0,Maybe,No,Unknown,100-500,0,2.0,0,0,1.0,Unknown,NA,United States of America,United States of America,29.0,Maybe,No,Some,2016
0,No,Maybe,No,1,No,No,Unknown,0,Maybe,Maybe,Unknown,26-100,0,4.0,0,0,1.0,Unknown,NA,United States of America,United States of America,33.0,No,No,No,2016
0,Unknown,Yes,Yes,1,Yes,No,Yes,1,Yes,Yes,Partial,More than 1000,3,0.0,2,3,1.0,Yes,NA,United States of America,United States of America,43.0,No,Maybe,No,2016
0,No,Maybe,No,1,Unknown,No,Unknown,0,No,No,Partial,100-500,7,5.0,1,3,1.0,Unknown,No,Australia,Australia,28.0,Maybe,Maybe,No,2016
0,No,Yes,Yes,1,Unknown,No,Yes,1,Yes,Maybe,Partial,100-500,10,3.0,2,4,1.0,Unknown,Partial,United States of America,United States of America,38.0,Yes,No,No,2016
0,Partial,Maybe,No,1,Yes,Partial,Yes,1,Yes,Yes,Partial,6-25,7,4.0,1,3,0.0,Yes,Partial,United States of America,United States of America,30.0,Yes,Maybe,No,2016
1,No,Yes,Yes,1,Unknown,Partial,Unknown,1,Yes,Yes,Yes,Unknown,3,0.0,1,4,,Unknown,Yes,United States of America,United States of America,51.0,Maybe,Unknown,No,2016
0,Partial,No,No,1,No,Partial,Unknown,0,No,Yes,Partial,26-100,0,4.0,0,0,1.0,Unknown,Partial,United States of America,United States of America,48.0,No,No,Some,2016
1,No,Maybe,Unknown,1,Unknown,No,Unknown,0,Maybe,Unknown,No,Unknown,7,0.0,0,0,,Unknown,NA,New Zealand,New Zealand,39.0,Maybe,Unknown,Some,2016
0,No,No,No,1,No,No,No,0,No,Yes,No,6-25,7,3.0,0,0,1.0,Unknown,NA,Australia,Australia,28.0,No,No,No,2016
0,Yes,Maybe,Yes,1,Yes,Partial,Yes,1,Yes,Maybe,Yes,100-500,7,4.0,2,4,1.0,Yes,Partial,United States of America,United States of America,37.0,Maybe,Maybe,Some,2016
0,No,No,Unknown,1,No,No,Yes,1,Yes,Maybe,No,More than 1000,7,3.0,3,3,1.0,Unknown,NA,United States of America,United States of America,33.0,Maybe,Yes,Some,2016
0,Unknown,Yes,No,0,Unknown,Unknown,Not eligible for coverage / NA,1,No,Yes,Unknown,6-25,3,2.0,0,4,1.0,Unknown,Unknown,Australia,Australia,21.0,No,No,Unknown,2016
0,No,No,Yes,1,Unknown,No,Yes,1,Yes,Maybe,Unknown,26-100,7,1.0,2,4,0.0,Unknown,NA,United States of America,United States of America,25.0,Maybe,No,No,2016
0,No,Yes,Yes,1,No,No,Yes,1,Yes,Yes,Partial,100-500,10,2.0,3,4,1.0,Unknown,Partial,United States of America,United States of America,40.0,No,Maybe,Some,2016
0,Unknown,Maybe,Yes,1,Unknown,Partial,No,1,Yes,Unknown,Partial,100-500,7,3.0,0,4,0.0,Unknown,Partial,Canada,Canada,30.0,Maybe,No,Some,2016
0,Unknown,No,No,0,No,Unknown,No,0,No,No,Unknown,1-5,10,5.0,1,1,1.0,No,Unknown,India,India,25.0,Yes,Maybe,Unknown,2016
0,No,No,No,1,Unknown,No,Yes,0,No,No,Yes,More than 1000,7,4.0,0,0,1.0,Yes,No,Germany,Germany,38.0,No,Yes,Some,2016
0,No,Maybe,Yes,1,No,No,Unknown,1,No,No,Unknown,100-500,7,0.0,2,4,0.0,Unknown,NA,United Kingdom,United Kingdom,24.0,Yes,Maybe,Some,2016
0,Unknown,No,No,0,Unknown,Unknown,Not eligible for coverage / NA,0,No,No,Unknown,6-25,5,2.0,0,0,1.0,Unknown,Unknown,United Kingdom,United Kingdom,23.0,Yes,Maybe,Unknown,2016
1,No,Yes,Yes,1,Unknown,No,Unknown,1,Yes,Yes,No,Unknown,7,0.0,2,3,,Unknown,Yes,United Kingdom,United Kingdom,39.0,No,Unknown,No,2016
0,Unknown,No,No,0,Unknown,Unknown,Unknown,0,No,No,Unknown,6-25,7,3.0,0,0,1.0,Yes,Unknown,United States of America,United States of America,26.0,No,Yes,Unknown,2016
0,Unknown,No,No,1,Unknown,No,Unknown,0,No,No,Unknown,More than 1000,7,3.0,2,0,0.0,Unknown,NA,United Kingdom,United Kingdom,43.0,Maybe,No,Some,2016
0,No,Maybe,Yes,1,Unknown,No,Unknown,0,Maybe,Unknown,No,6-25,7,5.0,0,3,1.0,Unknown,NA,New Zealand,New Zealand,30.0,Maybe,Maybe,Yes,2016
1,No,Yes,No,1,Unknown,No,Unknown,1,Maybe,No,Partial,Unknown,7,0.0,3,2,,Unknown,NA,Other,Germany,35.0,No,Unknown,No,2016
0,Unknown,Maybe,Unknown,0,No,Unknown,Unknown,0,Maybe,Maybe,Unknown,26-100,0,1.0,0,3,0.0,Unknown,Unknown,United Kingdom,United Kingdom,40.0,No,No,Unknown,2016
0,No,Yes,Yes,1,No,No,Yes,1,Yes,Maybe,No,26-100,7,1.0,0,4,0.0,Unknown,Yes,United Kingdom,United Kingdom,33.0,Maybe,No,Yes,2016
0,No,No,Unknown,1,No,No,No,0,No,Unknown,No,6-25,0,0.0,0,0,1.0,Unknown,NA,United Kingdom,United Kingdom,22.0,Maybe,No,No,2016
0,No,Yes,Yes,1,Unknown,No,Yes,1,Yes,Maybe,Unknown,100-500,7,0.0,2,3,1.0,Unknown,NA,United States of America,United States of America,28.0,Yes,Maybe,Unknown,2016
0,No,Yes,Yes,1,Yes,No,Yes,1,Yes,No,Partial,More than 1000,7,1.0,3,4,1.0,No,Yes,United States of America,United States of America,39.0,No,No,No,2016
0,Unknown,No,Unknown,1,No,No,Unknown,0,No,Maybe,Unknown,100-500,7,5.0,0,0,1.0,Unknown,NA,United States of America,United States of America,33.0,Maybe,Yes,Some,2016
1,No,No,No,1,Unknown,No,Unknown,0,No,Unknown,Unknown,Unknown,0,0.0,0,0,,Unknown,NA,United Kingdom,United Kingdom,25.0,Maybe,Unknown,Some,2016
0,No,No,No,1,Unknown,No,Unknown,0,No,No,Unknown,6-25,0,0.0,0,0,1.0,Unknown,Partial,United States of America,United States of America,37.0,No,Maybe,Some,2016
0,No,Yes,Yes,1,No,No,Unknown,1,Yes,No,Unknown,500-1000,10,0.0,2,4,1.0,Unknown,NA,France,France,41.0,Maybe,No,No,2016
0,Yes,Yes,Yes,1,Unknown,Yes,Yes,0,Yes,No,Yes,More than 1000,7,4.0,2,3,1.0,Unknown,Partial,United States of America,United States of America,30.0,Maybe,No,Yes,2016
0,Yes,No,Yes,1,Yes,Partial,Yes,0,Yes,Unknown,Partial,More than 1000,7,4.0,0,0,1.0,Yes,Yes,United States of America,United States of America,42.0,Yes,Maybe,Some,2016
0,No,No,No,1,No,No,Yes,0,No,No,Yes,6-25,7,2.0,0,0,1.0,Unknown,Partial,United States of America,United States of America,52.0,Yes,Maybe,Yes,2016
0,Unknown,No,No,0,No,Unknown,No,0,No,No,Unknown,26-100,7,4.0,3,4,1.0,Unknown,Unknown,Romania,United States of America,30.0,Maybe,Maybe,Unknown,2016
0,Partial,Yes,Unknown,1,Yes,Partial,Yes,1,Yes,No,Yes,500-1000,10,3.0,2,3,1.0,Yes,Yes,United States of America,United States of America,35.0,Maybe,Maybe,Yes,2016
0,No,No,No,1,No,No,Unknown,1,Yes,No,Unknown,26-100,7,0.0,0,0,1.0,Unknown,NA,United States of America,United States of America,24.0,No,Maybe,No,2016
0,Unknown,No,Unknown,1,Unknown,No,Unknown,0,No,Maybe,Unknown,6-25,7,4.0,0,0,1.0,Unknown,NA,United States of America,United States of America,39.0,Maybe,Maybe,Some,2016
0,Partial,No,Yes,1,Unknown,Partial,Yes,0,No,Yes,Yes,6-25,0,1.0,0,0,1.0,Unknown,Partial,United States of America,United States of America,34.0,Maybe,Maybe,Some,2016
1,Yes,No,Yes,1,Unknown,Yes,Unknown,1,No,Unknown,Yes,Unknown,0,0.0,0,0,,Unknown,Partial,United States of America,United States of America,32.0,Maybe,Unknown,Some,2016
1,No,Maybe,Yes,1,Unknown,No,Unknown,1,Maybe,Yes,No,Unknown,10,0.0,1,4,,Unknown,Yes,United Kingdom,United Kingdom,25.0,Maybe,Unknown,Some,2016
0,Unknown,Maybe,Unknown,1,No,No,No,0,Maybe,Yes,No,26-100,5,1.0,4,4,0.0,No,NA,Poland,Poland,43.0,No,No,No,2016
0,Partial,No,No,1,No,Partial,Yes,1,No,Maybe,Yes,6-25,0,1.0,0,0,1.0,Yes,Partial,United States of America,United States of America,39.0,No,No,Some,2016
1,No,Yes,Yes,1,Unknown,No,Unknown,0,Yes,Yes,Partial,Unknown,10,0.0,1,3,,Unknown,No,United States of America,United States of America,35.0,Maybe,Unknown,No,2016
0,Partial,Yes,Yes,1,Yes,No,Yes,1,Yes,Maybe,Yes,26-100,10,4.0,2,4,1.0,Yes,Partial,United States of America,United States of America,34.0,Yes,Yes,Some,2016
0,Unknown,No,No,0,Unknown,Unknown,Yes,0,No,Unknown,Unknown,More than 1000,7,4.0,0,0,0.0,Unknown,Unknown,United Kingdom,United Kingdom,38.0,No,Maybe,Unknown,2016
0,Partial,Yes,Unknown,1,Yes,Partial,Yes,1,Yes,Yes,Yes,100-500,10,4.0,3,4,1.0,Yes,Partial,United States of America,United States of America,26.0,No,Yes,Yes,2016
0,Unknown,No,Yes,1,Unknown,No,No,0,No,Maybe,No,6-25,7,3.0,0,0,1.0,Unknown,NA,Bulgaria,Bulgaria,24.0,Maybe,Maybe,Some,2016
0,No,Yes,Yes,1,Unknown,No,Unknown,1,Yes,No,No,More than 1000,7,1.0,2,4,0.0,Unknown,NA,United States of America,United States of America,27.0,Maybe,No,Some,2016
0,No,Yes,No,1,Yes,No,Yes,1,Yes,Yes,No,6-25,7,3.0,1,3,1.0,Yes,NA,United States of America,United States of America,25.0,Maybe,Maybe,No,2016
1,No,No,No,1,Unknown,No,Unknown,0,No,Unknown,Unknown,Unknown,3,0.0,0,0,,Unknown,NA,United States of America,United States of America,37.0,Yes,Unknown,Some,2016
0,No,No,Yes,1,Unknown,No,Yes,0,Maybe,Yes,No,More than 1000,7,3.0,0,0,0.0,Yes,NA,Canada,Canada,33.0,Maybe,No,No,2016
0,No,Yes,No,1,Unknown,No,No,1,Yes,Yes,Partial,26-100,7,2.0,3,4,0.0,Yes,Partial,United States of America,United States of America,34.0,Maybe,No,No,2016
0,No,Yes,Unknown,1,Unknown,No,Unknown,1,Yes,No,No,26-100,7,2.0,0,4,1.0,Unknown,NA,Canada,Canada,27.0,Maybe,No,No,2016
0,No,Maybe,Yes,1,No,Partial,Yes,1,Yes,Maybe,Partial,100-500,7,5.0,3,4,1.0,Unknown,No,United States of America,United States of America,33.0,Maybe,No,No,2016
0,No,Yes,Yes,1,Unknown,No,Yes,1,Yes,No,Unknown,6-25,7,4.0,4,4,1.0,Unknown,NA,United States of America,United States of America,50.0,Maybe,Yes,Some,2016
1,No,Yes,Yes,1,Unknown,No,Unknown,1,Yes,Maybe,Partial,Unknown,7,0.0,3,4,,Unknown,Yes,United States of America,United States of America,54.0,Maybe,Unknown,No,2016
0,Unknown,No,Unknown,1,Unknown,No,Yes,1,Yes,Yes,Unknown,More than 1000,5,1.0,3,4,1.0,Yes,NA,Canada,Canada,32.0,Maybe,Yes,Unknown,2016
0,No,No,No,1,Unknown,No,Unknown,0,No,No,No,6-25,5,5.0,0,0,1.0,Yes,NA,Canada,Canada,39.0,Maybe,Maybe,Unknown,2016
0,No,No,No,1,No,No,Unknown,0,No,Maybe,Unknown,6-25,7,5.0,0,0,1.0,Unknown,NA,United States of America,United States of America,36.0,Yes,Yes,Some,2016
